0 7159977 8575582 8473707
1 7207699 8619850 8519107
2 6948795 8638523 8536296
3 6592777 8670337 8566619
4 6412074 8728791 8632505
5 6419053 8768280 8665460
6 6375405 8768115 8663821
7 6226416 8751552 8648015
8 6136879 8745254 8644522
9 6561317 8748303 8651722
10 6556753 8756591 8651951
11 6816722 8734662 8632260
12 7049909 8702820 8598155
13 7080079 8660901 8550493
14 7139125 8620793 8513512
15 7053836 8577085 8469393
16 7445321 8557403 8454223
17 7380705 8533478 8431481
18 7396432 8510540 8410100
19 6957874 8523719 8417834
20 6837274 8533857 8436765
21 6657176 8587462 8489524
22 6660531 8663210 8559913
23 6756597 8660737 8555072
24 6508587 8687730 8589662
25 6594757 8728867 8631674
26 6424495 8771672 8672535
27 6269263 8779900 8685576
28 6150708 8795038 8694483
29 6362378 8802271 8699685
30 6464278 8785162 8677499
31 6604483 8750740 8645919
32 6758947 8679675 8576255
33 6902765 8651018 8545264
34 6876696 8622496 8520309
35 6657927 8593897 8485026
36 7057532 8570407 8464964
37 7137634 8566955 8468182
38 7239930 8549109 8447488
39 7214503 8561174 8458088
40 7359004 8572858 8468561
41 7109593 8571531 8475053
42 6870741 8646567 8548857
43 6788513 8699729 8594311
44 6234874 8779197 8686036
45 6049798 8851119 8750170
46 5900311 8862008 8761643
47 5871591 8901911 8797481
48 6155121 8892536 8788853
49 6650460 8839777 8738111
50 6527430 8807736 8700591
51 6635845 8801987 8696052
52 6646330 8745796 8637758
53 6707320 8697616 8589295
54 6766618 8648130 8544607
55 7109599 8600888 8493848
56 7356469 8560017 8457719
57 7281326 8563996 8465584
58 7485173 8529451 8428893
59 7330851 8513910 8406712
60 7069228 8549556 8444098
61 6882430 8611012 8508473
62 6387166 8691940 8589132
63 6596254 8708695 8601134
64 6656237 8708819 8603547
65 6412621 8767449 8662443
66 6412360 8745329 8644988
67 6621708 8737078 8635682
68 6395243 8746730 8646001
69 6719363 8736692 8637428
70 6577580 8730730 8626958
71 6586431 8703498 8597347
72 7150692 8664046 8559842
73 7050301 8622962 8515384
74 6918777 8581520 8475983
75 7031811 8563764 8464431
76 7028320 8542269 8440567
77 7178903 8533374 8424722
78 7365794 8518264 8419206
79 6591931 8520205 8416812
80 6672755 8568662 8470088
81 6710046 8588253 8483833
82 6665066 8623016 8525313
83 6576385 8639595 8538723
84 6288958 8700793 8602132
85 6178720 8753520 8653582
86 6037534 8763784 8663994
87 5929564 8789704 8689293
88 5879435 8785483 8679948
89 6407680 8771482 8662719
90 6521096 8727616 8625049
91 6530530 8696218 8589859
92 6613037 8651047 8547644
93 6612980 8644147 8533682
94 7022183 8574532 8467106
95 7054129 8561268 8461176
96 7002598 8550598 8445090
97 6871609 8562408 8457714
98 7064707 8556089 8449364
99 7077452 8574534 8472480
100 7082791 8612865 8509078
101 6824354 8652967 8549053
