0 9972260 8631605 8499289
1 9992257 8603261 8480205
2 10059432 8562184 8437410
3 9864875 8565581 8439433
4 10025459 8531651 8412490
5 10056709 8548859 8425487
6 9913728 8589279 8467337
7 9781918 8621652 8496133
8 9623697 8677348 8554670
9 9506814 8756232 8634369
10 9278882 8815424 8695889
11 9414820 8872436 8744765
12 9014265 8891697 8769015
13 9314916 8880721 8752006
14 9333630 8841915 8717855
15 9319386 8807185 8679783
16 9655603 8760368 8632662
17 10124016 8688591 8562833
18 10208742 8658649 8534822
19 10298414 8595037 8465254
20 10251168 8550260 8421704
21 10096553 8523956 8396905
22 9704627 8507922 8378470
23 9132555 8536858 8413597
24 8511600 8598915 8470278
25 7891247 8626513 8501551
26 7468299 8694348 8569156
27 7200334 8769203 8644921
28 6851466 8857667 8733225
29 6572203 8935361 8810459
30 6092779 9015484 8888283
31 5799980 9025801 8900891
32 5490720 9062937 8936406
33 5869610 9084158 8953859
34 6263972 9063337 8936952
35 6447894 9040715 8912466
36 6438783 8976572 8846464
37 6770934 8895617 8768154
38 6997728 8846570 8715951
39 7213213 8788190 8666289
40 7122454 8759198 8633952
41 7039499 8741413 8615040
42 7059639 8707497 8582063
43 7260223 8722190 8593705
44 7462714 8733705 8602682
45 7172850 8735472 8614091
46 6847356 8782113 8653599
47 7066534 8809539 8683785
48 7006014 8855933 8731680
49 6916831 8911711 8784641
50 6973216 8950081 8829017
51 7350509 9032268 8906976
52 7074724 9041775 8920480
53 7262190 9036509 8910493
54 7498214 9029651 8898813
55 7676101 9011167 8890506
56 8077968 8940611 8806751
57 8358587 8863394 8739238
58 8514969 8802645 8676355
59 8737871 8747157 8617316
60 8678290 8716233 8587050
61 8554182 8691766 8564322
62 8853854 8678116 8545788
63 8728863 8673935 8546059
64 8440741 8681712 8552064
65 8049838 8701447 8571035
66 7978462 8728559 8601735
67 8257600 8749065 8624412
68 8234283 8813036 8688639
69 7760895 8858528 8734748
70 7577408 8913926 8791197
71 7630530 8935739 8805611
72 7281337 8983663 8862002
73 7376775 9002836 8879760
74 7605413 9003796 8869409
75 7734902 8947155 8820185
76 8190253 8902013 8777281
77 8310620 8843886 8714094
78 8606734 8778333 8648585
79 8777355 8728235 8598433
80 8639658 8679388 8548871
81 8695280 8616795 8493061
82 8849248 8605966 8479489
83 8843469 8603250 8476009
84 8909011 8606288 8478543
85 8572183 8618522 8483197
86 8057753 8677141 8547602
87 8013350 8756640 8626986
88 7811145 8830805 8702010
89 7596928 8882369 8758120
90 7329690 8916349 8790178
91 7451479 8978512 8855063
92 7518273 8987184 8862207
93 7595943 8971509 8846412
94 7522500 8954230 8826896
95 7945575 8940812 8813935
96 8210763 8882181 8750322
97 8152461 8813925 8682585
98 8506435 8760360 8636412
99 8792899 8710444 8581042
100 9079108 8654752 8527415
101 9035423 8652656 8524001
102 9184204 8612212 8484739
103 8978924 8597929 8465627
104 8883207 8610067 8479429
105 8467383 8629182 8507392
106 8149851 8706260 8575354
